Query.Mass,Name,Formula,Exact.Mass,PubChem.CID,KEGG.ID
89.02360249,3-Hydroxypropanoate,C3H6O3,90.0317,68152,C01013
89.02360249,D-Glyceraldehyde;Glyceraldehyde;L-Glyceraldehyde,C3H6O3,90.0317,79014;751;439723,C00577;C02154;C02426
89.02360249,(S)-Lactate;(R)-Lactate;Lactate,C3H6O3,90.0317,107689;61503;612,C00186;C00256;C01432
89.02360249,Glycerone,C3H6O3,90.0317,670,C00184
93.0299869,Methylammonium nitrate,CH6N2O3,94.03784205,,
93.0299869,Carbamide peroxide,CH6N2O3,94.03784205,,
112.9844836,"Acetic acid, trifluoro-",C2HF3O2,113.9928639,,
112.9844836,trifluoroacetic acid,C2HF3O2,113.9928639,,
122.0857143,1-Allyl-3-methylimidazolium,C7H11N2,123.0922234,,
124.0875168,Triazbutil,C6H11N3,125.0952974,,
124.0875168,"(1H-Pyrrole-2,5-diyl)dimethanamine",C6H11N3,125.0952974,,
124.0875168,1-Methylhistamine,C6H11N3,125.0952974,,
124.0875168,4-Methylhistamine,C6H11N3,125.0953,37463,C17929
124.0875168,2-Methylhistamine,C6H11N3,125.0953,91613,C17928
124.0875168,N-Methylhistamine,C6H11N3,125.0953,3614,C05127
127.075222,Ethyl 2-methylbut-2-enoate,C7H12O2,128.0837296,,
127.075222,"1,4-Heptanolide",C7H12O2,128.0837296,,
127.075222,Hex-3-en-1-yl formate,C7H12O2,128.0837296,,
127.075222,(3Z)-Hex-3-en-1-yl formate,C7H12O2,128.0837296,,
127.075222,"3,3-Dimethylallyl acetate",C7H12O2,128.0837296,,
127.075222,4-ethoxy-2-methylbut-3-yn-2-ol,C7H12O2,128.0837296,,
127.075222,"2-Methylene-1-butanol, acetate",C7H12O2,128.0837296,,
127.075222,tert-Butyl acrylate,C7H12O2,128.0837296,,
127.075222,Propyl methacrylate,C7H12O2,128.0837296,,
127.075222,"2-Methylhexane-3,4-dione",C7H12O2,128.0837296,,
127.075222,Heptanolactone,C7H12O2,128.0837296,,
127.075222,"2,3-Dimethylpent-4-yne-2,3-diol",C7H12O2,128.0837296,,
127.075222,"2-Cyclopropyl-2-methyl-1,3-dioxolane",C7H12O2,128.0837296,,
127.075222,Heptanedial,C7H12O2,128.0837296,,
127.075222,Methyl cyclobutylacetate,C7H12O2,128.0837296,,
127.075222,(Oxan-4-yl)acetaldehyde,C7H12O2,128.0837296,,
127.075222,Isopropyl methacrylate,C7H12O2,128.0837296,,
127.075222,Isobutyl acrylate,C7H12O2,128.0837296,,
127.075222,"3-Methyl-2,4-hexanedione",C7H12O2,128.0837296,,
127.075222,cis-3-Hexenyl formate,C7H12O2,128.0837296,5365587,
127.075222,2-Hexenyl formate,C7H12O2,128.0837296,5352972,
127.075222,4-Pentenyl acetate,C7H12O2,128.0837296,74096,
127.075222,3-Methyl-3-butenyl acetate,C7H12O2,128.0837296,78879,
127.075222,Dihydro-5-propyl-2(3H)-furanone,C7H12O2,128.0837296,7742,
127.075222,"5-Methyl-2,3-hexanedione",C7H12O2,128.0837296,26204,
127.075222,"3,4-Heptanedione",C7H12O2,128.0837296,83671,
127.075222,Cyclohexyl formate,C7H12O2,128.0837296,20358,
127.075222,4-Methyl-5-hexanolide,C7H12O2,128.0837296,544628,
127.075222,1-Methoxy-3-methylene-2-pentanone,C7H12O2,128.0837296,13932051,
127.075222,Isopentenyl acetate,C7H12O2,128.0837296,14489,
127.075222,"1,3-Diacetylpropane",C7H12O2,128.0837296,100532,
127.075222,C7:1n-3,C7H12O2,128.0837296,,
127.075222,í_Œµ-heptenoic acid,C7H12O2,128.083721,,
127.075222,í_ŒÇ-heptenoic acid,C7H12O2,128.083721,,
127.075222,í_Œ_-heptenoic acid,C7H12O2,128.083721,,
127.075222,í_Œ_-heptenoic acid,C7H12O2,128.083721,,
127.075222,í_Œ±-heptenoic acid,C7H12O2,128.083721,,
127.075222, 3-isopropyl-3-butenoic acid,C7H12O2,128.0837296,,
127.075222,beta-EMGBL,C7H12O2,128.0837,,C13717
127.075222,alpha-EMGBL,C7H12O2,128.0837,,C13714
127.075222,1-Oxa-2-oxo-3-methylcycloheptane,C7H12O2,128.0837,200238,C10976
127.075222,Butyl acrylate,C7H12O2,128.0837,8846,C10921
127.075222,Cyclohexane-1-carboxylate,C7H12O2,128.0837,7413,C09822
127.075222,"Heptan-2,5-dione",C7H12O2,128.08373,15559,
127.075222,"2,3-Heptanedione",C7H12O2,128.08373,60983,
127.075222,4-heptanolide,C7H12O2,128.08373,7742,
127.075222,cis-2-Methyl-5-hexanolide,C7H12O2,128.08373,11116079,
127.075222,Methyl 2E-hexenoate,C7H12O2,128.08373,5364409,
127.075222,Methyl (Z)-3-hexenoate,C7H12O2,128.08373,5362819,
127.075222,Ethyl tiglate,C7H12O2,128.08373,5281163,C08487
127.075222,Ethyl 4-pentenoate,C7H12O2,128.08373,74786,
127.075222,Allyl butyrate,C7H12O2,128.08373,16324,
127.075222,Pimelic dialdehyde,C7H12O2,128.08373,104428,
127.075222,"2,4-Dimethyl-2-pentenoic acid",C7H12O2,128.08373,5362565,
127.075222,3-Methyl-2E-hexenoic acid;3-Methyl-2Z-hexenoic acid,C7H12O2,128.08373,6443739;44256498,;
127.075222,epsilon-heptenoic acid,C7H12O2,128.08373,70705,
127.075222,delta-heptenoic acid,C7H12O2,128.08373,5282712,
127.075222,gamma-heptenoic acid;4Z-heptenoic acid,C7H12O2,128.08373,5282711;5312595,;
127.075222,beta-heptenoic acid,C7H12O2,128.08373,5282710,
127.075222,alpha-heptenoic acid,C7H12O2,128.08373,5282709,
127.075222,3-isopropyl-3-butenoic acid,C7H12O2,128.08373,443528,C11950
127.075222,2-isopropyl trans-crotonic acid,C7H12O2,128.08373,5282662,
127.075222,"2,2-dimethyl-4-pentenoic acid",C7H12O2,128.08373,140065,
127.075222,"4,4-dimethyl-2E-pentenoic acid;4,4-dimethyl-2Z-pentenoic acid",C7H12O2,128.08373,5282660;5282661,;
127.075222,2-butyl acrylic acid,C7H12O2,128.08373,168447,
127.075222,5-methyl-5-hexenoic acid,C7H12O2,128.08373,549600,
127.075222,2-methyl-2Z-hexenoic acid;2-methyl-2E-hexenoic acid,C7H12O2,128.08373,5282649;5282650,;
128.0337968,Lithium pyridine-2-carboxylate,C6H4LiNO2,129.0402079,,
128.0337968,"3-Pyridinecarboxylic acid, lithium salt",C6H4LiNO2,129.0402079,,
129.0201383,"1,1-Cyclopropanedicarboxylate",C5H6O4,130.0266087,,
129.0201383,"4,5-Dioxovaleric acid",C5H6O4,130.0266087,,
129.0201383,Acetylpyruvic acid,C5H6O4,130.0266087,,
129.0201383,"2-Butenedioic acid (2Z)-, monomethyl ester",C5H6O4,130.0266087,,
129.0201383,Methylenebutanedioic acid,C5H6O4,130.0266087,,
129.0201383,"1,1-Cyclopropanedicarboxylic acid",C5H6O4,130.02661,,
129.0201383,"4,5-Dioxopentanoate",C5H6O4,130.0266,119412,C02800
129.0201383,Acetylpyruvate,C5H6O4,130.0266,21919,C02132
129.0201383,"2,5-Dioxopentanoate",C5H6O4,130.0266,523,C00433
129.0201383,Methyl hydrogen fumarate,C5H6O4,130.026609,5354456,
129.0201383,Glutaconic acid,C5H6O4,130.02661,5280498,C02214
129.0201383,Citraconic acid;Mesaconic acid,C5H6O4,130.02661,643798;638129,C02226;C01732
129.0201383,Itaconic acid,C5H6O4,130.02661,118343040,C00490
131.0693851,"1,1-Diethyl-2-hydroxy-2-nitrosohydrazine",C4H10N3O2,132.0773,107754,C13773
135.0278801,Phenyl vinyl sulfide,C8H8S,136.0346709,74572,
138.02,Nicotinic acid 1-oxide,C6H5NO3,139.026943,,
138.02,2-Hydroxynicotinic acid,C6H5NO3,139.026943,69114,
138.02,6-Hydroxynicotinic acid,C6H5NO3,139.026943,72924,
138.02,3-Hydroxypicolinic acid,C6H5NO3,139.0269,13401,C18620
138.02,3-Nitrophenol,C6H5NO3,139.0269,11137,C14418
138.02,2-Nitrophenol,C6H5NO3,139.0269,6947,C01988
138.02,6-Hydroxynicotinate,C6H5NO3,139.0269,72924,C01020
138.02,4-Nitrophenol,C6H5NO3,139.0269,980,C00870
146.9811695,3-Bromo-2-methylbut-1-ene,C5H9Br,147.9887624,,
150.8859066,Tin dioxide,O2Sn,151.8920239,,
153.0173539,Sodium perborate tetrahydrate,BH8NaO7,154.0260773,,
158.9769335,"2,6-Dichlorotoluene",C7H6Cl2,159.9846556,,
158.9769335,2-Chlorobenzyl chloride,C7H6Cl2,159.9846556,,
158.9769335,"3,4-Dichlorotoluene",C7H6Cl2,159.9846556,,
158.9769335,Benzal chloride,C7H6Cl2,159.9847,7411,C19165
158.9769335,"2,4-Dichlorotoluene",C7H6Cl2,159.9847,7254,C18300
160.9142346,Dichloro(chloromethyl)methylsilane,C2H5Cl3Si,161.9226097,,
160.9142346,"Phosphonothioic dichloride, ethyl-",C2H5Cl2PS,161.9226632,,
160.9142346,Trichloroethylsilane,C2H5Cl3Si,161.9226097,,
160.9973209,Bromocyclohexane,C6H11Br,162.0044125,,
160.9973209,"2-(2-Chloroethoxy)-1,1,1-trifluoroethane",C4H6ClF3O,162.0059272,,
160.9973209,"2-Chloro-1,1,2-trifluoroethyl ethyl ether",C4H6ClF3O,162.0059,136152,C14700
162.9113225,Chloral hydrate,C2H3Cl3O2,163.9199,2707,C06899
164.0697732,Metformin hydrochloride,C4H12ClN5,165.0781231,,
165.0538539,NSC524768,C5H6N6O,166.0603088,,
165.0538539,"Dimethyldithiocarbamic acid, dimethylamine",C5H14N2S2,166.0598404,,
166.0865321,Pyrithyldione,C9H13NO2,167.0946287,,
166.0865321,"3,4-Dimethoxybenzylamine",C9H13NO2,167.0946287,,
166.0865321,"2-[(Dimethylamino)methylene]-1,3-cyclohexanedione",C9H13NO2,167.0946287,,
166.0865321,NSC617363,C9H13NO2,167.0946287,,
166.0865321,1-{[(Dicyclopropylmethylidene)amino]oxy}ethan-1-one,C9H13NO2,167.0946287,,
166.0865321,"Hydroxylamine, O-((4-ethoxyphenyl)methyl)-",C9H13NO2,167.0946287,,
166.0865321,4-(Dimethoxymethyl)aniline,C9H13NO2,167.0946287,,
166.0865321,5-((2-Hydroxyethyl)amino)-2-methylphenol,C9H13NO2,167.0946287,,
166.0865321,p-Synephrine,C9H13NO2,167.0946287,,
166.0865321,O-[2-(2-Methoxyphenyl)ethyl]hydroxylamine,C9H13NO2,167.0946287,,
166.0865321,O-[2-(4-Methoxyphenyl)ethyl]hydroxylamine,C9H13NO2,167.0946287,,
166.0865321,Cyclohexyl cyanoacetate,C9H13NO2,167.0946287,,
166.0865321,2-(2-Furanyl)-3-piperidinol,C9H13NO2,167.0946287,,
166.0865321,Norpandamarilactonine A,C9H13NO2,167.0946287,,
166.0865321,4-Methoxytyramine,C9H13NO2,167.0946287,,
166.0865321,METARAMINOL,C9H13NO2,167.0946287,,
166.0865321,PYRITHYLDIONE,C9H13NO2,167.0946287,,
166.0865321,4-(1-hydroxy-2-(methylamino)ethyl)phenol,C9H13NO2,167.0946287,,
166.0865321,p-Hydroxynorpseudoephedrine,C9H13NO2,167.094629,,
166.0865321,Methyldopamine,C9H13NO2,167.094629,,
166.0865321,"1-(3-Pyridinyl)-1,4-butanediol",C9H13NO2,167.0946,156653,C19582
166.0865321,"2,5-Dihydrophenylalanine",C9H13NO2,167.0946,441444,C08273
166.0865321,Ethinamate,C9H13NO2,167.0946,3284,C07832
166.0865321,Epinine,C9H13NO2,167.0946,4382,C07453
166.0865321,Phenylephrine,C9H13NO2,167.0946,6041,C07441
166.0865321,Metaraminol,C9H13NO2,167.0946,5906,C07146
166.0865321,3-Methoxytyramine,C9H13NO2,167.0946,1669,C05587
166.0865321,(-)-Sympatol;Synephrine,C9H13NO2,167.0946,854067;7172,C01869;C04548
166.146964,1-Hexyl-3-methyl-1H-imidazol-3-ium,C10H19N2,167.1548236,,
167.0195381,"2,2'-(Methanediyldisulfanediyl)diethanol",C5H12O2S2,168.0278716,,
167.0195381,"1H-Purine-2,6-dione, 3,9-dihydro-9-hydroxy-",C5H4N4O3,168.02834,,
167.0195381,Uric acid,C5H4N4O3,168.02834,,
167.0195381,Urate,C5H4N4O3,168.0283,1175,C00366
172.0963836,Acexamic acid,C8H15NO3,173.1051933,,
172.0963836,Acetyl-L-leucine,C8H15NO3,173.1051933,,
172.0963836,SCH 50911,C8H15NO3,173.1051933,,
172.0963836,4-Morpholinebutanoic acid (9CI),C8H15NO3,173.1051933,,
172.0963836,tert-Butyl (2-oxopropyl)carbamate,C8H15NO3,173.1051933,,
172.0963836,Ethyl 2-{[(propan-2-ylidene)amino]oxy}propanoate,C8H15NO3,173.1051933,,
172.0963836,5-Nitrooctan-2-one,C8H15NO3,173.1051933,,
172.0963836,3-acetamidobutan-2-yl acetate,C8H15NO3,173.1051933,,
172.0963836,"2-Butenoic acid, 3-[(2-hydroxyethyl)amino]-, ethyl ester",C8H15NO3,173.1051933,,
172.0963836,"Ethyl N,N-diethyloxamate",C8H15NO3,173.1051933,,
172.0963836,2-(Dimethylamino)ethyl 3-oxobutanoate,C8H15NO3,173.1051933,,
172.0963836,Methyl 1-(methoxymethyl)-L-prolinate,C8H15NO3,173.1051933,,
172.0963836,Methyl (2R)-amino(oxan-4-yl)acetate,C8H15NO3,173.1051933,,
172.0963836,Ethyl oxan-3-ylcarbamate,C8H15NO3,173.1051933,,
172.0963836,(-)-Rosmarinecine,C8H15NO3,173.1051933,,
172.0963836,Acetyl-DL-Leucine,C8H15NO3,173.1051934,,
172.0963836,ACEXAMIC ACID,C8H15NO3,173.1051933,,
172.0963836,N-Acetylleucine,C8H15NO3,173.1051934,70912,
172.0963836,Isovalerylsarcosine,C8H15NO3,173.105194,,
172.0963836,N-Isovalerylglycine methyl ester,C8H15NO3,173.105194,,
172.0963836,Isovalerylalanine,C8H15NO3,173.105194,,
172.0963836,Methyl N-(a-methylbutyryl)glycine,C8H15NO3,173.105194,,
172.0963836,Hexanoylglycine,C8H15NO3,173.105194,,
172.0963836,N-Valerylglycine methyl ester,C8H15NO3,173.105194,,
172.0963836,Swainsonine,C8H15NO3,173.1052,51683,C10173
172.0963836,N-Acetyl-L-leucine,C8H15NO3,173.1052,70912,C02710
172.94,1-Bromo-4-fluorobenzene,C6H4BrF,173.9480404,,
175.0595184,2-((Acetyloxy)methoxy)ethyl acetate,C7H12O5,176.0684735,,
175.0595184,NSC522573,C7H12O5,176.0684735,,
175.0595184,"1,2,3-Propanetriol, diacetate",C7H12O5,176.0684735,,
175.0595184,METHYL 2-(2-HYDROXYPROPANOYLOXY)PROPANOATE,C7H12O5,176.0684735,,
175.0595184,3-Hydroxy-3-ethylglutaric acid,C7H12O5,176.0684735,,
175.0595184,"(í‰Œ±)-Glycerol 1,2-diacetate",C7H12O5,176.0684735,66021,
175.0595184,3-hydroxy-2-methylglutarate,C7H12O5,176.0684735,20070700,
175.0595184,3-Isopropylmalate,C7H12O5,176.0684735,,
175.0595184,3-Isopropylmalic acid,C7H12O5,176.068475,,
175.0595184,2-Isopropylmalic acid,C7H12O5,176.0684735,,
175.0595184,"(2R,3S)-3-Isopropylmalate",C7H12O5,176.0685,5462261,C04411
175.0595184,(R)-2-(n-Propyl)-malate;2-Propylmalate,C7H12O5,176.0685,5280587;440868,C03328;C05994
175.0595184,2-isopropyl-malic acid,C7H12O5,176.068475,5280523,C02504
175.0595184,"2,3-dimethyl-3-hydroxy-glutaric acid",C7H12O5,176.068475,21252268,
175.0595184,3-propylmalic acid;3-Propylmalate,C7H12O5,176.068475,4632710;439659,;C02123
178.0491962,"2(1H)-Quinolinone, 3,4-dihydro-5,8-dihydroxy-",C9H9NO3,179.0582431,,
178.0491962,"Carbamodithioic acid, (2-((2-aminoethyl)amino)ethyl)-",C5H13N3S2,179.0550894,,
178.0491962,Acetylsalicylamide,C9H9NO3,179.0582431,,
178.0491962,Methyl 3-phenyloxaziridine-2-carboxylate,C9H9NO3,179.0582431,,
178.0491962,"6-(Hydroxymethyl)-2H-1,4-benzoxazin-3(4H)-one",C9H9NO3,179.0582431,,
178.0491962,Ethyl 4-nitrosobenzoate,C9H9NO3,179.0582431,,
178.0491962,"2-Hydroxy-4,5,6,7-tetrahydro-1H-4,7-methanoisoindole-1,3(2H)-dione",C9H9NO3,179.0582431,,
178.0491962,4-Acetamidobenzoic acid,C9H9NO3,179.0582431,,
178.0491962,3-(3-Nitrophenyl)propanal,C9H9NO3,179.0582431,,
178.0491962,1-(2-Nitrophenyl)propan-2-one,C9H9NO3,179.0582431,,
178.0491962,Ethyl oxo(pyridin-3-yl)acetate,C9H9NO3,179.0582431,,
178.0491962,1-(4-Methoxyphenyl)-2-nitroethylene,C9H9NO3,179.0582432,697963,
178.0491962,Methyl n-formylanthranilate,C9H9NO3,179.0582432,162458,
178.0491962,Adrenochrome,C9H9NO3,179.0582432,5898,
178.0491962,4-Oxo-4-(3-pyridyl)-butanoic acid,C9H9NO3,179.0582432,,
178.0491962,p-Acetaminobenzoic acid,C9H9NO3,179.058244,,
178.0491962,"5,8-Dihydroxy-3,4-dihydrocarbostyril",C9H9NO3,179.058244,,
178.0491962,Hippuric acid,C9H9NO3,179.0582432,,
178.0491962,3-Succinoylpyridine,C9H9NO3,179.0582,437,C19569
178.0491962,"2,5,6-Trihydroxy-5,6-dihydroquinoline",C9H9NO3,179.0582,440984,C06339
178.0491962,N-Acetylanthranilate,C9H9NO3,179.0582,6971,C06332
178.0491962,Hippurate,C9H9NO3,179.0582,464,C01586
179.054132,NSC625042,C10H12OS,180.060886,,
179.054132,"2,3,4,5-tetrahydro-1-benzothiepin-5-ol",C10H12OS,180.060886,,
179.054132,tetrahydrobenzothiepine-1-oxide,C10H12OS,180.060886,,
179.0549325,L-(-)-Sorbose,C6H12O6,180.0633881,,
179.0549325,NSC625042,C10H12OS,180.060886,,
179.0549325,"1,3-Dihydroxyacetone dimer",C6H12O6,180.0633881,,
179.0549325,"2,3,4,5-tetrahydro-1-benzothiepin-5-ol",C10H12OS,180.060886,,
179.0549325,tetrahydrobenzothiepine-1-oxide,C10H12OS,180.060886,,
179.0549325,beta-D-Fructopyranose,C6H12O6,180.0633881,,
179.0549325,D-Glucose,C6H12O6,180.0633881,,
179.0549325,L-(+)-Gulose,C6H12O6,180.0633881,,
179.0549325,í_Œ_-D-Fructose,C6H12O6,180.0633881,,
179.0549325,allo-Inositol,C6H12O6,180.0633881,,
179.0549325,3-Deoxyarabinohexonic acid,C6H12O6,180.06339,,
179.0549325,"1,3-Dihydroxyacetone",C6H12O6,180.06339,,
179.0549325,b-Glucose,C6H12O6,180.0633881,,
179.0549325,b-D-Galactopyranose,C6H12O6,180.0633881,,
179.0549325,Allose,C6H12O6,180.0633881,,
179.0549325,D-(+)-Mannose,C6H12O6,180.0633881,,
179.0549325,í_Œ±-D-Glucose,C6H12O6,180.0633881,79025,
179.0549325,D-Galactofuranose,C6H12O6,180.0634,15560222,C21066
179.0549325,2-Deoxy-D-gluconate,C6H12O6,180.0634,188315,C02782
179.0549325,D-Hamamelose;beta-D-Hamamelopyranose,C6H12O6,180.0634,439601;441479,C01906;C08351
179.0549325,D-Fuconate;L-Fuconate;L-Rhamnonate,C6H12O6,180.0634,5459874;439545;6602429,C01680;C01720;C01934
179.0549325,Galactose,C6H12O6,180.0634,3037556,C01582
179.0549325,Sorbose,C6H12O6,180.0634,107428,C01452
179.0549325,L-Sorbose;D-Sorbose;D-Tagatose;D-Fructose;D-Psicose;alpha-L-Sorbopyranose,C6H12O6,180.0634,439192;439304;439312;2723872;441036;441484,C00247;C00764;C00795;C05003;C06468;C08356
179.0549325,myo-Inositol;1L-chiro-Inositol;muco-Inositol;scyllo-Inositol;1D-chiro-Inositol,C6H12O6,180.0634,;;;;,C00137;C06151;C06152;C06153;C19891
179.0549325,Levulose;L-Fructose;beta-D-Fructose,C6H12O6,180.0634,439163;11769129;439709,C00095;C01719;C02336
179.0549325,Grape sugar;D-Galactose;D-Mannose;beta-D-Glucose;alpha-D-Glucose;D-Aldose;D-Hexose;alpha-D-Mannose;beta-D-Galactose;alpha-D-Galactose;D-Allose;L-Galactose;beta-D-Mannose;D-Altrose;D-Gulose;D-Idose;D-Talose;L-Gulose;L-Altrose;L-Idose,C6H12O6,180.0634,5793;6036;18950;64689;79025;24892722;206;185698;439353;439357;439507;12003287;439680;441032;441033;441034;441035;10130220;10219674;11030410,C00031;C00124;C00159;C00221;C00267;C00737;C00738;C00936;C00962;C00984;C01487;C01825;C02209;C06464;C06465;C06466;C06467;C15923;C21032;C21050
180.9716214,Difluoro(trifluoromethoxy)acetyl fluoride,C3F6O2,181.9802486,,
181.0489485,Flopropione,C9H10O4,182.0579088,,
181.0489485,Methoxymethyl salicylate,C9H10O4,182.0579088,,
181.0489485,"Benzenepropanoic acid, 2,4-dihydroxy-",C9H10O4,182.0579088,,
181.0489485,Methyl 4-methoxysalicylate,C9H10O4,182.0579088,,
181.0489485,3-Ethoxy-4-hydroxybenzoic acid,C9H10O4,182.0579088,,
181.0489485,"4,6-Dimethoxy-2-hydroxybenzaldehyde",C9H10O4,182.0579088,,
181.0489485,ethyl 3-(furan-3-yl)-3-oxopropanoate,C9H10O4,182.0579088,,
181.0489485,3-Methylbut-2-en-1-yl trifluoroacetate,C7H9F3O2,182.0554642,,
181.0489485,Methyl vanillate,C9H10O4,182.0579088,,
181.0489485,"4-Hydroxy-3,5-dimethoxybenzaldehyde",C9H10O4,182.0579088,,
181.0489485,"2',4'-Dihydroxy-6'-methoxyacetophenone",C9H10O4,182.0579088,10965145,
181.0489485,Maltol propionate,C9H10O4,182.0579088,110543,
181.0489485,(í‰Œ±)-2-Hydroxy-3-(2-hydroxyphenyl)propanoic acid,C9H10O4,182.0579088,3083977,
181.0489485,"2,6-Dimethoxybenzoic acid",C9H10O4,182.0579088,15109,
181.0489485,3-hydroxyphenyllactate,C9H10O4,182.0579088,265740,
181.0489485,METHYL ORSELLINATE,C9H10O4,182.0579088,,
181.0489485,FLOPROPIONE,C9H10O4,182.0579088,,
181.0489485,EVERNINIC ACID,C9H10O4,182.057906,,
181.0489485,3-METHYLORSELLINIC ACID,C9H10O4,182.0579088,,
181.0489485,Hydroxyphenyllactic acid,C9H10O4,182.0579088,9378,
181.0489485,3-Hydroxy-4-methoxyphenylacetic acid,C9H10O4,182.05791,,
181.0489485,Veratric acid,C9H10O4,182.05791,,
181.0489485,Homovanillic acid,C9H10O4,182.0579088,,
181.0489485,"3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate",C9H10O4,182.0579,86583390,C21085
181.0489485,"3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate",C9H10O4,182.0579,86583388,C20953
181.0489485,"cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol",C9H10O4,182.0579,5282145,C12622
181.0489485,"2',6'-Dihydroxy-4'-methoxyacetophenone",C9H10O4,182.0579,24135,C10680
181.0489485,"3,4-Dihydroxyphenylpropanoate",C9H10O4,182.0579,348154,C10447
181.0489485,3-Methoxy-4-hydroxyphenylglycolaldehyde,C9H10O4,182.0579,440729,C05583
181.0489485,Homovanillate,C9H10O4,182.0579,1738,C05582
181.0489485,"3-(2,3-Dihydroxyphenyl)propanoate",C9H10O4,182.0579,20,C04044
181.0489485,3-(4-Hydroxyphenyl)lactate;(R)-3-(4-Hydroxyphenyl)lactate,C9H10O4,182.0579,9378;440177,C03672;C03964
185.1165929,"2,6,7-Trioxabicyclo(2.2.2)octane, 1-butyl-4-methyl-",C10H18O3,186.1255944,,
185.1165929,"2,6,7-Trioxabicyclo(2.2.2)octane, 4-ethyl-1-isopropyl-",C10H18O3,186.1255944,,
185.1165929,"2,6,7-Trioxabicyclo(2.2.2)octane, 4-ethyl-1-propyl-",C10H18O3,186.1255944,,
185.1165929,"2,6,7-Trioxabicyclo(2.2.2)octane, 4-butyl-1-methyl-",C10H18O3,186.1255944,,
185.1165929,Ethyl (cyclohexyloxy)acetate,C10H18O3,186.1255944,,
185.1165929,Cyclohexyl 2-hydroxy-2-methylpropanoate,C10H18O3,186.1255944,,
185.1165929,9-Formylnonanoic acid,C10H18O3,186.1255944,,
185.1165929,AG-G-96759,C10H18O3,186.1255944,,
185.1165929,5-Hexyl-4-hydroxyoxolan-2-one,C10H18O3,186.1255944,,
185.1165929,"Ethyl 5,5-dimethyl-2-oxohexanoate",C10H18O3,186.1255944,,
185.1165929,Prop-2-en-1-yl (3-methylbutoxy)acetate,C10H18O3,186.1255944,,
185.1165929,"1,1,4-triethoxybut-2-yne",C10H18O3,186.1255944,,
185.1165929,"(1R,2R,4R)-1,8-Epoxy-p-menthane-2,4-diol",C10H18O3,186.1255944,188642,
